form_code,form_title,group,court_routing,package_key,relationship_type,county,confidence_score,mapping_source,status,notes
1-A,Petition For Adoption (Agency),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
1-B,Verified Schedule (Agency),Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
1-C,Petition for Adoption (Private Placement),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
1-Ca,Affirmation (Change of circumstance since certification as qualified adoptive parents) (Private Placement),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
1-D,Child's Medical History,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
1-E,Affirmation Regarding Venue,Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
1-F,Determination of Family Court Judge Regarding Venue,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
1-G,Order Regarding Venue,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
10-1,Order Directing Temporary Removal of Child--Before Petition Filed,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-10,Order of Fact-finding and Disposition (and Permanency Hearing),Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
10-11a,Notice of Motion to Terminate Placement,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-11b,Affirmation in Support of Motion to Terminate Placement,Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
10-12,Order on Petition to Terminate Placement,Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
10-13,Notice of Motion (Violation of Order of Disposition),Enforcement,FAMILY_COURT,PKG_ENFORCEMENT,OPTIONAL,,0.90,SUPPORTING_DOCUMENT,MAPPED,Catalog supporting_documents: ORDER_ON_VIOLATION
10-13,Notice of Motion (Violation of Order of Disposition),Supreme Court Matrimonial,SUPREME_COURT,PKG_MOTION,OPTIONAL,,0.95,CATALOG_OPTIONAL,MAPPED,Catalog optional_forms: NOTICE_OF_MOTION
10-13a,Affirmation in Support of Motion for an Order of Violation of Order of Disposition,Enforcement,FAMILY_COURT,PKG_ENFORCEMENT,OPTIONAL,,0.90,SUPPORTING_DOCUMENT,MAPPED,Catalog supporting_documents: ORDER_ON_VIOLATION
10-13a,Affirmation in Support of Motion for an Order of Violation of Order of Disposition,Supreme Court Matrimonial,FAMILY_COURT,PKG_MOTION,REQUIRED,,0.80,ALIAS_RESOLUTION,MAPPED,Catalog required_forms: AFFIDAVIT_IN_SUPPORT
10-14,Order - Violation of Order of Disposition,Enforcement,FAMILY_COURT,PKG_ENFORCEMENT,OPTIONAL,,0.90,SUPPORTING_DOCUMENT,MAPPED,Catalog supporting_documents: ORDER_ON_VIOLATION
10-15,Petition For Release of Responsibility Under Order of Placement,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-19,Order of Transfer to Criminal Court of Referral to District Attorney,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-1a,Notice (Temporary Removal of Child and Right to Hearing),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-1b,Order of Investigation,Family Court Custody,FAMILY_COURT,PKG_CUSTODY_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
10-1c,Application For Temporary Removal of Child (before Petition Filed),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-2,Order Directing Temporary Removal of Child--After Petition Filed,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-27,Petition for Extension of Supervision,Family Court Custody,FAMILY_COURT,PKG_CUSTODY_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
10-28,Order on Petition to Extend Supervision of Respondent and/or Release of Child,Family Court Family Offense,FAMILY_COURT,PKG_ORDER_OF_PROTECTION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
10-29,Order on Application to Access Children,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
